Model,Engine,Selected_SKUs,Raw_RMSE_Wins,Macro_MASE,Macro_RMSSE,Global_RMSE,Volume_WAPE,Mean_Bias,Empirical_Coverage_80,Evaluation_Points,Evaluation_Origins_Per_SKU,Evaluation_Horizon
TiRex2,TiRex2 0.1.1,15,18,1.0449077692303246,1.0389477920607346,119.87306358915185,0.1039075780829602,31.179063279288155,0.7797619047619048,3360,7,6
ARIMA,R fpp3 1.0.2,7,12,1.1028644847930429,1.1056053148236138,123.95053424334297,0.10838125206649722,13.063830380651144,0.7071428571428572,3360,7,6
Mean,R fpp3 1.0.2,28,19,1.1042230747035762,1.0864704591613727,130.16577666511535,0.1120027853685109,46.814324726176935,0.7294642857142857,3360,7,6
Seasonal_Naive,R fpp3 1.0.2,18,15,1.1403325029515963,1.144445088478402,132.2638630325219,0.11297188609865641,26.89375,0.7357142857142858,3360,7,6
ETS,R fpp3 1.0.2,10,14,1.2260637631409481,1.1996324603301693,130.0893621908294,0.11588904376452851,23.660795354284858,0.7633928571428571,3360,7,6
Naive,R fpp3 1.0.2,0,0,1.3978914330672307,1.3667425528720265,151.02584235661064,0.1346465455417048,21.998511904761905,0.893154761904762,3360,7,6
Drift,R fpp3 1.0.2,2,2,1.4750150311821053,1.4432420441199736,157.81476441553568,0.1408570561303283,11.786852289419238,0.9032738095238095,3360,7,6
